GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD28,HD02_VD28,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Europe:,Margin of Error; Europe:,Estimate; Europe: - Eastern Europe:,Margin of Error; Europe: - Eastern Europe:,Estimate; Europe: - Eastern Europe: - Bulgaria,Margin of Error; Europe: - Eastern Europe: - Bulgaria,Estimate; Europe: - Eastern Europe: - Croatia,Margin of Error; Europe: - Eastern Europe: - Croatia,Estimate; Europe: - Eastern Europe: - Hungary,Margin of Error; Europe: - Eastern Europe: - Hungary,Estimate; Europe: - Eastern Europe: - Latvia,Margin of Error; Europe: - Eastern Europe: - Latvia,Estimate; Europe: - Eastern Europe: - Lithuania,Margin of Error; Europe: - Eastern Europe: - Lithuania,Estimate; Europe: - Eastern Europe: - Macedonia,Margin of Error; Europe: - Eastern Europe: - Macedonia,Estimate; Europe: - Eastern Europe: - Moldova,Margin of Error; Europe: - Eastern Europe: - Moldova,Estimate; Europe: - Eastern Europe: - Poland,Margin of Error; Europe: - Eastern Europe: - Poland,Estimate; Europe: - Eastern Europe: - Romania,Margin of Error; Europe: - Eastern Europe: - Romania,Estimate; Europe: - Eastern Europe: - Russia,Margin of Error; Europe: - Eastern Europe: - Russia,Estimate; Europe: - Eastern Europe: - Bosnia and Herzegovina,Margin of Error; Europe: - Eastern Europe: - Bosnia and Herzegovina
0500000US01001,01001,"Autauga County, Alabama",1012,262,154,92,24,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,24,27,0,27
0500000US01003,01003,"Baldwin County, Alabama",6523,706,1216,302,365,148,8,13,0,27,22,25,26,32,20,32,0,27,0,27,77,79,82,73,25,25,0,27
0500000US01005,01005,"Barbour County, Alabama",761,82,68,62,7,11,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,7,11,0,21
0500000US01007,01007,"Bibb County, Alabama",305,85,43,49,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US01009,01009,"Blount County, Alabama",2465,283,109,51,11,16,0,27,0,27,0,27,0,27,0,27,0,27,0,27,11,16,0,27,0,27,0,27
0500000US01011,01011,"Bullock County, Alabama",160,122,23,37,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",283,56,5,7,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",2774,333,487,160,63,41,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,20,23,26,24,0,27
0500000US01017,01017,"Chambers County, Alabama",337,56,11,12,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
0500000US01019,01019,"Cherokee County, Alabama",188,108,16,26,16,26,0,21,0,21,8,13,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US01021,01021,"Chilton County, Alabama",2435,249,188,139,94,115,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,21,0,24
0500000US01023,01023,"Choctaw County, Alabama",22,17,1,2,1,2,0,18,0,18,0,18,0,18,1,2,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01025,01025,"Clarke County, Alabama",116,75,33,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US01027,01027,"Clay County, Alabama",255,58,28,29,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01029,01029,"Cleburne County, Alabama",262,50,18,18,3,4,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01031,01031,"Coffee County, Alabama",1906,304,470,164,24,23,0,27,3,4,14,21,0,27,0,27,0,27,0,27,5,7,0,27,2,3,0,27
0500000US01033,01033,"Colbert County, Alabama",849,156,67,37,3,4,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
0500000US01035,01035,"Conecuh County, Alabama",108,49,22,21,11,19,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01037,01037,"Coosa County, Alabama",136,122,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01039,01039,"Covington County, Alabama",360,82,109,42,14,13,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,10,0,24
0500000US01041,01041,"Crenshaw County, Alabama",318,85,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01043,01043,"Cullman County, Alabama",2304,228,203,100,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
0500000US01045,01045,"Dale County, Alabama",1362,239,286,100,39,37,0,24,0,24,0,24,0,24,0,24,0,24,0,24,6,9,13,25,5,8,0,24
0500000US01047,01047,"Dallas County, Alabama",610,133,83,43,18,22,0,24,0,24,18,22,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
0500000US01049,01049,"DeKalb County, Alabama",5162,440,75,51,12,21,12,21,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
0500000US01051,01051,"Elmore County, Alabama",1580,276,246,96,61,46,0,27,0,27,27,32,0,27,0,27,0,27,0,27,0,27,9,15,0,27,0,27
0500000US01053,01053,"Escambia County, Alabama",279,130,21,18,20,18,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,16,0,24,0,24
